Time,Event,Severity,Source,Destination,Confidence
12:45:22,NEW_THREAT,Low,34.107.243.93,192.168.0.127,0.09
12:45:22,NEW_THREAT,Low,192.168.0.127,216.58.209.14,0.09
12:45:22,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:23,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:23,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:23,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:24,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:24,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:24,NEW_THREAT,Low,192.168.0.127,52.182.143.211,0.09
12:45:25,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:25,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:25,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:25,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:25,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:26,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:26,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:26,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:27,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:27,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:28,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:28,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:29,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:29,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:30,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:31,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:32,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:32,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:33,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:33,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:33,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:34,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:34,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:35,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:35,NEW_THREAT,Low,0.0.0.0,224.0.0.1,0.09
12:45:36,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:36,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:37,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:37,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:38,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:38,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:38,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:39,NEW_THREAT,Low,192.168.0.127,52.182.143.211,0.09
12:45:39,NEW_THREAT,Low,52.182.143.211,192.168.0.127,0.09
12:45:39,NEW_THREAT,Low,192.168.0.1,224.0.0.22,0.09
12:45:39,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:39,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:40,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:40,NEW_THREAT,Low,192.168.0.127,224.0.0.22,0.09
12:45:41,NEW_THREAT,Low,192.168.0.230,224.0.0.251,0.09
12:45:41,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:41,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:42,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:42,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:42,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:43,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:43,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:43,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:44,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:44,NEW_THREAT,Low,192.168.0.127,224.0.0.22,0.09
12:45:44,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:45,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:45,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:45,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:46,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:46,NEW_THREAT,Low,192.168.0.127,172.211.123.250,0.09
12:45:47,NEW_THREAT,Low,192.168.0.127,8.8.8.8,0.09
12:45:47,NEW_THREAT,Low,8.8.8.8,192.168.0.127,0.09
12:45:47,NEW_THREAT,Low,216.58.209.14,192.168.0.127,0.09
12:45:48,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:45:48,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:45:48,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:45:48,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:45:48,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:45:49,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:45:49,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:45:49,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:45:49,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:45:49,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:45:49,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:45:49,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:45:49,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:50,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:50,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:51,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:51,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
