IP,Porty,MAC,Producent
192.168.0.1,,192.168.0.127,
192.168.0.127,,,
192.168.0.230,,44-1c-a8-15-a8-3b,
192.168.0.238,,36-48-87-4f-fc-9e,
192.168.0.245,,da-ed-ad-a2-8e-f5,
